"ID","ACCOUNT NAME","OPPORTUNITY NAME","TYPE","AMOUNT","CLOSE DATE","STAGE","PROBABILITY (%)","ACCOUNT ID","STATUS"
"0066F00000rzbPUQAY","Athens Technical College","Athens Technical College - Ball Sports","Existing Customer - Upgrade","24000","2020-01-10","Closed Won","100","0016F00002NE8FBQA1","Item Created"
"0066F00000rzbPVQAY","Athens Technical College","Athens Technical College - Team Sports Gear","Existing Customer - Upgrade","42000","2020-02-03","Closed Won","100","0016F00002NE8FBQA1","Item Created"
"0066F00000rzbPWQAY","Athens Technical College","Athens Technical College - Team Sports Gear","Existing Customer - Replacement","54000","2020-06-19","Closed Won","100","0016F00002NE8FBQA1","Item Created"
"0066F00000rzbPXQAY","Bigfan Sports","Bigfan Sports - Ball Sports","","50000","2020-01-15","Value Proposition","50","0016F00002NE8FpQAL","Item Created"
"0066F00000rzbPYQAY","Bigfan Sports","Bigfan Sports - Hiking Gear, Tents, etc","Existing Customer - Upgrade","183000","2020-02-27","Closed Won","100","0016F00002NE8FpQAL","Item Created"
"0066F00000rzbPZQAY","BigRock Sports","BigRock Sports - Ball Sports","Existing Customer - Upgrade","44000","2020-01-10","Closed Won","100","0016F00002NE8EZQA1","Item Created"
"0066F00000rzbPaQAI","BigRock Sports","BigRock Sports - Basketball Equipment","Existing Customer - Upgrade","54000","2020-06-22","Negotiation/Review","90","0016F00002NE8EZQA1","Item Created"
"0066F00000rzbPbQAI","Bowling Green High School","Bowling Green High School - Ball Sports","","4000","2020-01-01","Negotiation/Review","90","0016F00002NE8FyQAL","Item Created"
"0066F00000rzbPcQAI","Bowling Green High School","Bowling Green High School - Baseball equipment","","20000","2020-02-14","Prospecting","10","0016F00002NE8FyQAL","Item Created"
"0066F00000rzbPdQAI","Bowling Green High School","Bowling Green High School - Baseball equipment","","24000","2020-02-23","Perception Analysis","70","0016F00002NE8FyQAL","Item Created"
"0066F00000rzbPeQAI","Chattanooga Elementary School","Chattanooga Elementary School - Playground Games","","47000","2020-02-26","Closed Won","100","0016F00002NE8FHQA1","Item Created"
"0066F00000rzbPfQAI","Chattanooga Elementary School","Chattanooga Elementary School - Ball Games","","44000","2020-04-04","Closed Won","100","0016F00002NE8FHQA1","Item Created"
"0066F00000rzbPgQAI","Chattanooga Elementary School","Chattanooga Elementary School - Ball Games","Existing Customer - Upgrade","6000","2020-04-17","Closed Lost","0","0016F00002NE8FHQA1","Item Created"
"0066F00000rzbPhQAI","City Sports","City Sports - Hiking Gear, Tents, etc","","3000","2020-03-12","Id. Decision Makers","60","0016F00002NE8FPQA1","Item Created"
"0066F00000rzbPiQAI","City Sports","City Sports - Biking Equipment","Existing Customer - Upgrade","12000","2020-04-24","Closed Won","100","0016F00002NE8FPQA1","Item Created"
"0066F00000rzbPjQAI","Columbus Elementary School","Columbus Elementary School - Ball Sports","New Customer","3000","2020-01-02","Closed Lost","0","0016F00002NE8EcQAL","Item Created"
"0066F00000rzbPkQAI","Columbus Elementary School","Columbus Elementary School - Ball Sports","New Customer","18000","2020-01-24","Closed Won","100","0016F00002NE8EcQAL","Item Created"
"0066F00000rzbPlQAI","Columbus Elementary School","Columbus Elementary School - Playground Games","New Customer","16000","2020-02-15","Value Proposition","50","0016F00002NE8EcQAL","Item Created"
"0066F00000rzbPmQAI","Datum Sports","Datum Sports - Biking Equipment","Existing Customer - Upgrade","54000","2020-05-13","Proposal/Price Quote","75","0016F00002NE8FuQAL","Item Created"
"0066F00000rzbPnQAI","Datum Sports","Datum Sports - Basketball Equipment","Existing Customer - Upgrade","54000","2020-06-25","Closed Lost","0","0016F00002NE8FuQAL","Item Created"
"0066F00000rzbPoQAI","Des Moines Technical College","Des Moines Technical College - Ball Sports","Existing Customer - Replacement","12000","2020-01-18","Closed Won","100","0016F00002NE8FQQA1","Item Created"
"0066F00000rzbPpQAI","Des Moines Technical College","Des Moines Technical College - Team Sports Gear","Existing Customer - Upgrade","54000","2020-02-09","Proposal/Price Quote","75","0016F00002NE8FQQA1","Item Created"
"0066F00000rzbPqQAI","Des Moines Technical College","Des Moines Technical College - Team Sports Gear","Existing Customer - Upgrade","24000","2020-03-02","Closed Won","100","0016F00002NE8FQQA1","Item Created"
"0066F00000rzbPrQAI","DuoZone Sports","DuoZone Sports - Climbing Equipment","Existing Customer - Replacement","17000","2020-04-11","Closed Lost","0","0016F00002NE8G1QAL","Item Created"
"0066F00000rzbPsQAI","DuoZone Sports","DuoZone Sports - Soccer Equipment","","10000","2020-05-23","Closed Lost","0","0016F00002NE8G1QAL","Item Created"
"0066F00000rzbPtQAI","Fort Wayne Middle School","Fort Wayne Middle School - Soccer equipment","Existing Customer - Upgrade","50000","2020-02-05","Value Proposition","50","0016F00002NE8ElQAL","Item Created"
"0066F00000rzbPuQAI","Fort Wayne Middle School","Fort Wayne Middle School - Gym equipment","Existing Customer - Replacement","70000","2020-03-22","Closed Won","100","0016F00002NE8ElQAL","Item Created"
"0066F00000rzbPvQAI","Grand Rapids High School","Grand Rapids High School - Baseball equipment","Existing Customer - Replacement","12000","2020-02-16","Id. Decision Makers","60","0016F00002NE8FcQAL","Item Created"
"0066F00000rzbPwQAI","Grand Rapids High School","Grand Rapids High School - Gym equipment","Existing Customer - Upgrade","47000","2020-02-25","Closed Won","100","0016F00002NE8FcQAL","Item Created"
"0066F00000rzbPxQAI","Grand Rapids High School","Grand Rapids High School - Workout Mats","Existing Customer - Upgrade","25000","2020-06-03","Negotiation/Review","90","0016F00002NE8FcQAL","Item Created"
"0066F00000rzbPyQAI","HighTech Sports","HighTech Sports - Ball Sports","Existing Customer - Upgrade","25000","2020-01-09","Negotiation/Review","90","0016F00002NE8FIQA1","Item Created"
"0066F00000rzbPzQAI","HighTech Sports","HighTech Sports - Climbing Equipment","","6000","2020-04-21","Closed Lost","0","0016F00002NE8FIQA1","Item Created"
"0066F00000rzbQ0QAI","Holdings Sports","Holdings Sports - Hiking Gear, Tents, etc","","20000","2020-02-18","Prospecting","10","0016F00002NE8EiQAL","Item Created"
"0066F00000rzbQ1QAI","Idaho Falls Middle School","Idaho Falls Middle School - Gym equipment","","183000","2020-04-23","Closed Won","100","0016F00002NE8EnQAL","Item Created"
"0066F00000rzbQ2QAI","Idaho Falls Middle School","Idaho Falls Middle School - Workout Mats","","15000","2020-05-10","Closed Won","100","0016F00002NE8EnQAL","Item Created"
"0066F00000rzbQ3QAI","Idaho Falls Middle School","Idaho Falls Middle School - Workout Mats","","7000","2020-06-01","Closed Lost","0","0016F00002NE8EnQAL","Item Created"
"0066F00000rzbQ4QAI","Jooba Sports","Jooba Sports - Hiking Gear, Tents, etc","Existing Customer - Upgrade","70000","2020-02-26","Closed Won","100","0016F00002NE8FCQA1","Item Created"
"0066F00000rzbQ5QAI","Jooba Sports","Jooba Sports - Climbing Equipment","Existing Customer - Upgrade","24000","2020-03-14","Closed Won","100","0016F00002NE8FCQA1","Item Created"
"0066F00000rzbQ6QAI","Konkware","Konkware - Ball Sports","Existing Customer - Upgrade","16000","2020-01-13","Value Proposition","50","0016F00002NE8G9QAL","Item Created"
"0066F00000rzbQ7QAI","Konkware","Konkware - Corporate Wellness Center Setup","Existing Customer - Upgrade","3000","2020-05-04","Closed Won","100","0016F00002NE8G9QAL","Item Created"
"0066F00000rzbQ8QAI","Konkware","Konkware - Corporate Wellness Center Equipment","Existing Customer - Upgrade","18000","2020-06-26","Closed Won","100","0016F00002NE8G9QAL","Item Created"
"0066F00000rzbQ9QAI","Omaha Elementary School","Omaha Elementary School - Ball Sports","Existing Customer - Upgrade","54000","2020-01-07","Proposal/Price Quote","75","0016F00002NE8FRQA1","Item Created"
"0066F00000rzbQAQAY","Omaha Elementary School","Omaha Elementary School - Playground Games","Existing Customer - Replacement","24000","2020-04-29","Closed Won","100","0016F00002NE8FRQA1","Item Created"
"0066F00000rzbQBQAY","Omaha Elementary School","Omaha Elementary School - Ball Games","","12000","2020-05-20","Closed Lost","0","0016F00002NE8FRQA1","Item Created"
"0066F00000rzbQCQAY","Redcity Sports","Redcity Sports - Ball Sports","Existing Customer - Upgrade","24000","2020-01-29","Perception Analysis","70","0016F00002NE8FYQA1","Item Created"
"0066F00000rzbQDQAY","Redcity Sports","Redcity Sports - Soccer Equipment","","10000","2020-06-17","Closed Won","100","0016F00002NE8FYQA1","Item Created"
"0066F00000rzbQEQAY","Rough Water Sports","Rough Water Sports - Hiking Gear, Tents, etc","","16000","2020-02-19","Value Proposition","50","0016F00002NE8EbQAL","Item Created"
"0066F00000rzbQFQAY","Rough Water Sports","Rough Water Sports - Biking Equipment","Existing Customer - Replacement","4000","2020-05-07","Negotiation/Review","90","0016F00002NE8EbQAL","Item Created"
"0066F00000rzbQGQAY","Saint Paul High School","Saint Paul High School - Baseball equipment","Existing Customer - Upgrade","54000","2020-02-21","Closed Won","100","0016F00002NE8FlQAL","Item Created"
"0066F00000rzbQHQAY","Saint Paul High School","Saint Paul High School - Gym equipment","Existing Customer - Replacement","24000","2020-03-08","Closed Won","100","0016F00002NE8FlQAL","Item Created"
"0066F00000rzbQIQAY","Saint Paul High School","Saint Paul High School - Workout Mats","Existing Customer - Upgrade","42000","2020-06-30","Closed Won","100","0016F00002NE8FlQAL","Item Created"
"0066F00000rzbQJQAY","Sanzone Sports","Sanzone Sports - Ball Sports","Existing Customer - Upgrade","15000","2020-01-16","Closed Lost","0","0016F00002NE8FkQAL","Item Created"
"0066F00000rzbQKQAY","Sanzone Sports","Sanzone Sports - Hiking Gear, Tents, etc","Existing Customer - Upgrade","20000","2020-02-28","Closed Won","100","0016F00002NE8FkQAL","Item Created"
"0066F00000rzbQLQAY","Siliconflex Sports","Siliconflex Sports - Climbing Equipment","New Customer","12000","2020-04-20","Id. Decision Makers","60","0016F00002NE8FMQA1","Item Created"
"0066F00000rzbQMQAY","Siliconflex Sports","Siliconflex Sports - Soccer Equipment","New Customer","3000","2020-06-08","Closed Won","100","0016F00002NE8FMQA1","Item Created"
"0066F00000rzbQNQAY","Springdale Middle School","Springdale Middle School - Ball Sports","","54000","2020-01-18","Negotiation/Review","90","0016F00002NE8FNQA1","Item Created"
"0066F00000rzbQOQAY","Springdale Middle School","Springdale Middle School - Gym equipment","Existing Customer - Upgrade","17000","2020-03-05","Closed Won","100","0016F00002NE8FNQA1","Item Created"
"0066F00000rzbQPQAY","Springdale Middle School","Springdale Middle School - Gym equipment","Existing Customer - Upgrade","88000","2020-04-27","Closed Won","100","0016F00002NE8FNQA1","Item Created"
"0066F00000rzbQQQAY","Streetace","Streetace - Ball Sports","Existing Customer - Upgrade","70000","2020-01-20","Closed Won","100","0016F00002NE8G0QAL","Item Created"
"0066F00000rzbQRQAY","Streetace","Streetace - Corporate Wellness Center Setup","Existing Customer - Upgrade","50000","2020-02-11","Value Proposition","50","0016F00002NE8G0QAL","Item Created"
"0066F00000rzbQSQAY","Streetace","Streetace - Corporate Wellness Center Equipment","Existing Customer - Upgrade","135000","2020-04-04","Needs Analysis","20","0016F00002NE8G0QAL","Item Created"
"0066F00000rzbQTQAY","Techicon","Techicon - Ball Sports","Existing Customer - Upgrade","6000","2020-01-15","Closed Won","100","0016F00002NE8EyQAL","Item Created"
"0066F00000rzbQUQAY","Techicon","Techicon - Corporate Wellness Center Setup","Existing Customer - Upgrade","44000","2020-02-06","Closed Won","100","0016F00002NE8EyQAL","Item Created"
"0066F00000rzbQVQAY","Techicon","Techicon - Corporate Wellness Center Equipment","Existing Customer - Upgrade","47000","2020-03-28","Closed Lost","0","0016F00002NE8EyQAL","Item Created"
"0066F00000rzbQWQAY","Temp-Line","Temp-Line - Corporate Wellness Center Setup","","20000","2020-02-24","Closed Won","100","0016F00002NE8FwQAL","Item Created"
"0066F00000rzbQXQAY","Temp-Line","Temp-Line - Corporate Wellness Center Equipment","Existing Customer - Upgrade","10000","2020-05-11","Closed Lost","0","0016F00002NE8FwQAL","Item Created"
"0066F00000rzbQYQAY","Temp-Line","Temp-Line - Corporate Wellness Center Equipment","Existing Customer - Upgrade","240000","2020-06-02","Proposal/Price Quote","75","0016F00002NE8FwQAL","Item Created"
"0066F00000rzbQZQAY","Tuscaloosa High School","Tuscaloosa High School - Gym equipment","Existing Customer - Upgrade","3000","2020-04-06","Id. Decision Makers","60","0016F00002NE8FEQA1","Item Created"
"0066F00000rzbQaQAI","Tuscaloosa High School","Tuscaloosa High School - Workout Mats","Existing Customer - Upgrade","18000","2020-05-28","Closed Won","100","0016F00002NE8FEQA1","Item Created"
"0066F00000rzbQbQAI","Tuscaloosa High School","Tuscaloosa High School - Workout Mats","Existing Customer - Replacement","10000","2020-06-19","Closed Lost","0","0016F00002NE8FEQA1","Item Created"
"0066F00000rzbQcQAI","University of Annapolis","University of Annapolis - Ball Sports","","10000","2020-01-13","Closed Lost","0","0016F00002NE8EgQAL","Item Created"
"0066F00000rzbQdQAI","University of Annapolis","University of Annapolis - College Equipment","","240000","2020-03-06","Proposal/Price Quote","75","0016F00002NE8EgQAL","Item Created"
